product_type,attributes,Stream,cum_weightage,sa_name,completeness_weight,UMP,Seller - Required vs Optional
WALLET,material,"'Refinement', 'FAQ', 'DPMO', 'Customer_Search'",1.0,material,8,rac,Required
INCONTINENCE_PROTECTOR,material,"'Refinement', 'FAQ', 'DPMO', 'Customer_Search'",1.0,material,4,UMP,Required
CHARGING_ADAPTER,brand,"'FAQ', 'DPMO', 'Customer_Search'",0.8,brand,8,UMP,Required
WEARABLE_COMPUTER,connectivity_technology,"'Refinement', 'FAQ', 'DPMO'",0.8,connectivity_technology,4,rac,Required
SKIN_MOISTURIZER,brand,"'FAQ', 'DPMO', 'Customer_Search'",0.8,brand,8,UMP,Required
LAUNDRY_DETERGENT,brand,"'FAQ', 'DPMO', 'Customer_Search'",0.8,brand,8,UMP,Required
INCONTINENCE_PROTECTOR,brand,"'FAQ', 'DPMO', 'Customer_Search'",0.8,brand,8,UMP,Required
ELECTRONIC_CABLE,brand,"'FAQ', 'DPMO', 'Customer_Search'",0.8,brand,8,UMP,Required
CHARGING_ADAPTER,wattage,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,wattage,4,UMP,Optional
BLANK_BOOK,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
PORTABLE_ELECTRONIC_DEVICE_COVER,special_feature,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,special_feature,4,rac,Optional
SKIN_CLEANING_AGENT,product_benefit,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,product_benefit,4,rac,Required
PANTS,fit_type,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,fit_type,8,rac,Required
TABLETOP_GAME,theme,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,theme,8,UMP,Optional
NON_RIDING_TOY_VEHICLE,power_source_type,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,power_source_type,4,UMP,Optional
MASSAGER,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
PUZZLES,number_of_pieces,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,number_of_pieces,8,rac,Optional
SUNSCREEN,active_ingredients,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,active_ingredients,4,UMP,Optional
LIGHT_BULB,special_feature,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,special_feature,8,UMP,Required
SKIN_CLEANING_AGENT,skin_type,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,skin_type,8,rac,Required
HEADPHONES,bluetooth_version,"'DPMO', 'Customer_Search'",0.6000000000000001,bluetooth_version,4,UMP,Optional
SUNSCREEN,product_benefit,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,product_benefit,8,UMP,Required
PERSONAL_FRAGRANCE,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
MASSAGER,special_feature,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,special_feature,4,UMP,Optional
SKIN_MOISTURIZER,skin_type,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,skin_type,4,rac,Required
WALLET,wallet_compartment_type,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,wallet_compartment_type,4,UMP,Required
BOTTLE,material,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,material,8,rac,Required
CLEANING_AGENT,special_feature,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,special_feature,4,UMP,Optional
SKIN_CLEANING_AGENT,target_use_body_part,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,target_use_body_part,4,UMP,Optional
MASSAGER,specific_uses_for_product,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,specific_uses_for_product,4,UMP,Optional
SUNSCREEN,skin_type,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,skin_type,4,rac,Required
NON_RIDING_TOY_VEHICLE,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
CHARGING_ADAPTER,compatible_devices,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,compatible_devices,8,rac,Optional
HAIR_DRYER,material,"'FAQ', 'DPMO'",0.6000000000000001,material,8,UMP,Required
PORTABLE_ELECTRONIC_DEVICE_COVER,compatible_device_size_maximum,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,compatible_device_size_maximum,4,UMP,Optional
STRING_LIGHT,special_feature,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,special_feature,8,UMP,Optional
NUT_AND_SEED,item_form,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,item_form,4,rac,Required
LIGHT_BULB,wattage,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,wattage,8,mac,Optional
TOWEL,special_feature,"'Refinement', 'DPMO'",0.6000000000000001,special_feature,4,UMP,Optional
PORTABLE_ELECTRONIC_DEVICE_COVER,form_factor,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,form_factor,8,rac,Optional
WRITING_INSTRUMENT,material,"'DPMO', 'Customer_Search'",0.6000000000000001,material,8,rac,Required
NUT_AND_SEED,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
TOYS_AND_GAMES,color,"'Refinement', 'DPMO'",0.6000000000000001,color,4,rac,Required
HAIR_STYLING_AGENT,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,4,UMP,Required
SHIRT,color,"'Refinement', 'DPMO'",0.6000000000000001,color,8,rac,Required
WRITING_INSTRUMENT,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
TOWEL,color,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,color,8,rac,Required
HAIR_TRIMMER,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,4,UMP,Required
COOKIE,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,4,UMP,Required
EDIBLE_OIL_VEGETABLE,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
TOWEL,fabric_weight,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,fabric_weight,4,UMP,Optional
BLANK_BOOK,pages,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,pages,8,UMP,Optional
SHAMPOO,brand,"'DPMO', 'Customer_Search'",0.6000000000000001,brand,8,UMP,Required
SHAMPOO,product_benefit,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,product_benefit,4,rac,Required
BLANK_BOOK,paper_size,"'Refinement', 'FAQ', 'Customer_Search'",0.6000000000000001,paper_size,8,UMP,Required
CHARGING_ADAPTER, compatible_phone_models,"'DPMO', 'Customer_Search'",0.6000000000000001,,,,
HERB,specialty,"'FAQ', 'Customer_Search'",0.4,specialty,4,UMP,Optional
DRINKING_CUP,color,"'Refinement', 'Customer_Search'",0.4,color,8,rac,Required
STRING_LIGHT,style,"'Refinement', 'Customer_Search'",0.4,style,4,UMP,Required
INCONTINENCE_PROTECTOR,age_range_description,"'FAQ', 'Customer_Search'",0.4,age_range_description,4,rac,Optional
DRINKING_CUP,care_instructions,"'Refinement', 'FAQ'",0.4,care_instructions,4,rac,Required
HERB,variety,"'FAQ', 'Customer_Search'",0.4,variety,8,UMP,Optional
DRINKING_CUP,capacity,"'FAQ', 'Customer_Search'",0.4,capacity,8,rac,Required
STRING_LIGHT,theme,"'Refinement', 'Customer_Search'",0.4,theme,4,UMP,Optional
COOKIE,ingredients,"'FAQ', 'Customer_Search'",0.4,ingredients,8,UMP,Required
DRINKING_CUP,material_feature,"'Refinement', 'FAQ'",0.4,material_feature,4,UMP,Optional
DRINKING_CUP,occasion_type,"'Refinement', 'Customer_Search'",0.4,occasion_type,4,UMP,Optional
HERB,produce_classification,"'FAQ', 'Customer_Search'",0.4,produce_classification,4,UMP,Optional
DRINKING_CUP,material,"'Refinement', 'Customer_Search'",0.4,material,8,rac,Required
NUT_AND_SEED,item_weight,"'FAQ', 'Customer_Search'",0.4,item_weight,8,UMP,Required
SUNSCREEN,scent,"'FAQ', 'Customer_Search'",0.4,scent,8,UMP,Required
CHARGING_ADAPTER,connector_type,"'Refinement', 'Customer_Search'",0.4,connector_type,8,rac,Optional
CELLULAR_PHONE_CASE,compatible_phone_models,"'Refinement', 'Customer_Search'",0.4,compatible_phone_models,8,rac,Required
TOWEL,style,"'Refinement', 'Customer_Search'",0.4,style,4,UMP,Required
CELLULAR_PHONE_CASE,form_factor,"'FAQ', 'Customer_Search'",0.4,form_factor,8,rac,Required
CELLULAR_PHONE_CASE,material,"'Refinement', 'FAQ'",0.4,material,8,rac,Required
TOWEL,number_of_items,"'Refinement', 'FAQ'",0.4,number_of_items,4,rac,Required
TOWEL,material,"'Refinement', 'Customer_Search'",0.4,material,8,rac,Required
