keywords,product_type,attributes,impressions
NA,3D_PRINTER,program_member,"11,730"
NA,3D_PRINTER,compatible_devices,"25,302"
NA,3D_PRINTER,color.standardized_values,"20,438"
NA,ABDOMINAL_EXERCISER,item_depth_width_height.height,"1,292"
NA,ABDOMINAL_EXERCISER,program_member,"3,036"
NA,ABDOMINAL_EXERCISER,item_length_width_depth.length,"1,848"
NA,ABDOMINAL_EXERCISER,item_depth_width_height.width,"2,782"
NA,ABDOMINAL_EXERCISER,item_depth_width_height.depth,36
NA,ABIS_BOOK,minimum_reading_interest_age,"45,982,198"
NA,ABIS_BOOK,product_group,"200,942"
NA,ABIS_BOOK,binding,"132,791,362"
NA,ABIS_BOOK,language,"110,535,938"
NA,ABIS_BOOK,browse_merchandising_keywords,"196,069,174"
NA,ABIS_BOOK,browse_generalized_bic_geo,"19,787"
NA,ABIS_BOOK,breed_recommendation,"124,089"
NA,ABIS_MUSIC,language,"7,430"
NA,ABIS_MUSIC,binding,"18,588"
NA,ABRASIVE_SHEETS,compatible_material,"10,138"
NA,ABRASIVE_SHEETS,compatible_devices,"1,900"
NA,ABRASIVE_WHEELS,grit.material,114
NA,ACCESSORY,color.standardized_values,"117,944,746"
NA,ACCESSORY,occasion_type,"47,136,404"
NA,ACCESSORY,embellishment_feature,"5,642"
NA,ADHESIVE_TAPES,program_member,"13,922"
NA,ADHESIVE_TAPES,water_resistance_level,"190,262"
NA,ADHESIVE_TAPES,recommended_uses_for_product,"56,112"
NA,ADHESIVE_TAPES,surface_recommendation,"78,859"
NA,ADVENT_CALENDAR,age_range_description,8
NA,ADVENT_CALENDAR,color.standardized_values,32
NA,AIMING_SCOPE_SIGHT,color.standardized_values,30
NA,AIR_CONDITIONER,energy_star,"176,802,089"
NA,AIR_CONDITIONER,capacity,"285,217,449"
NA,AIR_CONDITIONER,core_material,"125,247,237"
NA,AIR_CONDITIONER,refrigerant,"124,701,628"
NA,AIR_CONDITIONER,installation_type,"183,758,972"
NA,AIR_CONDITIONER,special_feature,"253,689,190"
