Helper,product_type,sa_name,Rank,MP,completeness_weight,correctness_weight,normalization_weight,PT Scope,ASCS PT excluded,ASCS All excluded,Excluded,IDQ program PT overlap,IDQ program PT+Attribute overlap
3D_PRINTER-brand,3D_PRINTER,brand,1,1,8,8,8,1,0,1,1,0,0
3D_PRINTER-material,3D_PRINTER,material,2,1,8,8,8,1,0,0,0,0,0
3D_PRINTER-color,3D_PRINTER,color,3,1,8,8,8,1,0,0,0,0,0
3D_PRINTER-item_depth_width_height,3D_PRINTER,item_depth_width_height,4,1,4,4,4,1,0,0,0,0,0
3D_PRINTER-item_weight,3D_PRINTER,item_weight,5,1,4,4,4,1,0,1,1,0,0
3D_PRINTER-compatible_devices,3D_PRINTER,compatible_devices,6,1,4,4,4,1,0,0,0,0,0
3D_PRINTER-file_format,3D_PRINTER,file_format,7,1,4,4,4,1,0,0,0,0,0
3D_PRINTER-operating_system,3D_PRINTER,operating_system,9,1,4,4,4,1,0,0,0,0,0
3D_PRINTER-power_consumption,3D_PRINTER,power_consumption,10,1,4,4,4,1,0,0,0,0,0
3D_PRINTER-printing_technology,3D_PRINTER,printing_technology,11,1,4,4,4,1,0,0,0,0,0
3D_PRINTER-maximum_build_dimensions,3D_PRINTER,maximum_build_dimensions,12,1,2,2,2,1,0,0,0,0,0
3D_PRINTER-compatible_material,3D_PRINTER,compatible_material,13,1,2,2,2,1,0,0,0,0,0
3D_PRINTER-connectivity_technology,3D_PRINTER,connectivity_technology,14,1,1,1,1,1,0,0,0,0,0
3D_PRINTER-voltage,3D_PRINTER,voltage,15,1,1,1,1,1,0,0,0,0,0
3D_PRINTER-eu_spare_part_availability_duration,3D_PRINTER,eu_spare_part_availability_duration,105,1,1,1,1,1,0,0,0,0,0
ABDOMINAL_EXERCISER-brand,ABDOMINAL_EXERCISER,brand,1,1,8,8,8,1,0,1,1,1,0
ABDOMINAL_EXERCISER-color,ABDOMINAL_EXERCISER,color,2,1,8,8,8,1,0,0,0,1,1
ABDOMINAL_EXERCISER-material,ABDOMINAL_EXERCISER,material,3,1,4,4,4,1,0,0,0,1,1
ABDOMINAL_EXERCISER-item_weight,ABDOMINAL_EXERCISER,item_weight,4,1,4,4,4,1,0,1,1,1,0
ABDOMINAL_EXERCISER-style,ABDOMINAL_EXERCISER,style,5,1,4,4,4,1,0,0,0,1,1
ABDOMINAL_EXERCISER-maximum_weight_recommendation,ABDOMINAL_EXERCISER,maximum_weight_recommendation,6,1,4,4,4,1,0,0,0,1,0
ABDOMINAL_EXERCISER-item_length_width_height,ABDOMINAL_EXERCISER,item_length_width_height,7,1,4,4,4,1,0,0,0,1,0
ABDOMINAL_EXERCISER-eu_spare_part_availability_duration,ABDOMINAL_EXERCISER,eu_spare_part_availability_duration,105,1,4,4,4,1,0,0,0,1,0
ABRASIVE_BRUSH-material,ABRASIVE_BRUSH,material,1,1,8,8,8,1,0,0,0,0,0
ABRASIVE_BRUSH-brand,ABRASIVE_BRUSH,brand,2,1,8,8,8,1,0,1,1,0,0
ABRASIVE_BRUSH-grit.material,ABRASIVE_BRUSH,grit.material,3,1,8,8,8,1,0,0,0,0,0
ABRASIVE_BRUSH-bristle.type,ABRASIVE_BRUSH,bristle.type,4,1,4,4,4,1,0,0,0,0,0
ABRASIVE_BRUSH-item_length_width,ABRASIVE_BRUSH,item_length_width,5,1,4,4,4,1,0,0,0,0,0
ABRASIVE_BRUSH-color,ABRASIVE_BRUSH,color,6,1,4,4,4,1,0,0,0,0,0
ABRASIVE_BRUSH-compatible_material,ABRASIVE_BRUSH,compatible_material,8,1,4,4,4,1,0,0,0,0,0
ABRASIVE_BRUSH-grit.type,ABRASIVE_BRUSH,grit.type,10,1,4,4,4,1,0,0,0,0,0
ABRASIVE_BRUSH-unit_count,ABRASIVE_BRUSH,unit_count,11,1,4,4,4,1,0,0,0,0,0
ABRASIVE_BRUSH-number_of_pieces,ABRASIVE_BRUSH,number_of_pieces,12,1,4,4,4,1,0,0,0,0,0
ABRASIVE_BRUSH-recommended_uses_for_product,ABRASIVE_BRUSH,recommended_uses_for_product,13,1,2,2,2,1,0,0,0,0,0
ABRASIVE_BRUSH-eu_spare_part_availability_duration,ABRASIVE_BRUSH,eu_spare_part_availability_duration,105,1,1,1,1,1,0,0,0,0,0
ABRASIVE_SHEETS-size,ABRASIVE_SHEETS,size,1,1,8,8,8,1,0,0,0,0,0
ABRASIVE_SHEETS-color,ABRASIVE_SHEETS,color,2,1,8,8,8,1,0,0,0,0,0
ABRASIVE_SHEETS-backing.type,ABRASIVE_SHEETS,backing.type,3,1,8,8,8,1,0,0,0,0,0
ABRASIVE_SHEETS-item_length_width,ABRASIVE_SHEETS,item_length_width,4,1,4,4,4,1,0,0,0,0,0
ABRASIVE_SHEETS-brand,ABRASIVE_SHEETS,brand,5,1,4,4,4,1,0,1,1,0,0
ABRASIVE_SHEETS-grit.type,ABRASIVE_SHEETS,grit.type,6,1,4,4,4,1,0,0,0,0,0
ABRASIVE_SHEETS-grit.material,ABRASIVE_SHEETS,grit.material,7,1,4,4,4,1,0,0,0,0,0
ABRASIVE_SHEETS-grit.number,ABRASIVE_SHEETS,grit.number,8,1,4,4,4,1,0,0,0,0,0
ABRASIVE_SHEETS-material,ABRASIVE_SHEETS,material,9,1,4,4,4,1,0,0,0,0,0
ABRASIVE_SHEETS-compatible_material,ABRASIVE_SHEETS,compatible_material,10,1,4,4,4,1,0,0,0,0,0
ABRASIVE_SHEETS-unit_count,ABRASIVE_SHEETS,unit_count,12,1,2,2,2,1,0,0,0,0,0
ABRASIVE_SHEETS-eu_spare_part_availability_duration,ABRASIVE_SHEETS,eu_spare_part_availability_duration,105,1,2,2,2,1,0,0,0,0,0
ABRASIVE_SHEETS-model_number,ABRASIVE_SHEETS,model_number,106,1,1,1,1,1,0,0,0,0,0
ABRASIVE_SHEETS-compatible_devices,ABRASIVE_SHEETS,compatible_devices,813180287,1,1,1,1,1,0,0,0,0,0
ABRASIVE_WHEELS-grit.material,ABRASIVE_WHEELS,grit.material,1,1,8,8,8,1,0,0,0,0,0
ABRASIVE_WHEELS-item_length_width,ABRASIVE_WHEELS,item_length_width,2,1,8,8,8,1,0,0,0,0,0
ABRASIVE_WHEELS-brand,ABRASIVE_WHEELS,brand,3,1,8,8,8,1,0,1,1,0,0
ABRASIVE_WHEELS-industry_standard_identifier,ABRASIVE_WHEELS,industry_standard_identifier,4,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-compatible_devices,ABRASIVE_WHEELS,compatible_devices,6,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-grit.type,ABRASIVE_WHEELS,grit.type,7,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-arbor_hole.diameter,ABRASIVE_WHEELS,arbor_hole.diameter,8,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-item_thickness,ABRASIVE_WHEELS,item_thickness,9,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-grit.number,ABRASIVE_WHEELS,grit.number,10,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-construction_type,ABRASIVE_WHEELS,construction_type,11,1,4,4,4,1,0,0,0,0,0
