product_type,attributes,UMP,Seller - Required vs Optional
ABDOMINAL_EXERCISER,color,rac,Required
ABDOMINAL_EXERCISER,item_type_name,,Required
ABDOMINAL_EXERCISER,item_weight,,Required
ABDOMINAL_EXERCISER,material,rac,Required
ABDOMINAL_EXERCISER,style,rac,Required
ABIS_BOOK,author,rac,Required
ABIS_BOOK,binding,rac,Required
ABIS_BOOK,brand,,Required
ABIS_BOOK,contributor,rac,CONFIGURED ONLY IN 'VENDOR' SCOPE
ABIS_BOOK,edition,,Optional
ABIS_BOOK,format,rac,Optional
ABIS_BOOK,item_type_name,,Required
ABIS_BOOK,language,rac,Required
ABIS_BOOK,maximum_reading_interest_age,,Optional
ABIS_BOOK,minimum_reading_interest_age,,Optional
ABIS_BOOK,pages,rac,Optional
ABIS_BOOK,publication_date,rac,Required
ABRASIVES,grit.material,,Optional
ABRASIVES,grit.type,,Required
ABRASIVES,hand_orientation,,Required
ABRASIVES,item_type_name,,Required
ABRASIVES,item_weight,,Required
ABRASIVES,material,rac,Required
ABRASIVES,model_name,,Required
ABRASIVES,number_of_items,,Required
ABRASIVES,unit_count,,Optional
ADHESIVE_TAPES,color,rac,Required
ADHESIVE_TAPES,included_components,,Required
ADHESIVE_TAPES,item_type_name,,Required
ADHESIVE_TAPES,material,rac,Required
ADHESIVE_TAPES,number_of_items,rac,Required
ADHESIVE_TAPES,size,rac,Required
ADHESIVE_TAPES,surface_recommendation,,Optional
ADHESIVE_TAPES,unit_count,,Optional
ADHESIVE_TAPES,water_resistance_level,,Optional
AIR_COMPRESSOR,air_flow_capacity,,Optional
AIR_COMPRESSOR,batteries_included,,Required
AIR_COMPRESSOR,color,rac,Required
AIR_COMPRESSOR,hose_length,,Optional
AIR_COMPRESSOR,included_components,rac,Required
AIR_COMPRESSOR,item_weight,,Required
AIR_COMPRESSOR,material,rac,Required
AIR_COMPRESSOR,maximum_operating_pressure,,Optional
AIR_COMPRESSOR,model_name,,Required
AIR_COMPRESSOR,noise_level,,Optional
AIR_COMPRESSOR,power_source_type,rac,Required
AIR_COMPRESSOR,style,,Required
AIR_COMPRESSOR,voltage,rac,Optional
AIR_COMPRESSOR,wattage,,Optional
AIR_CONDITIONER,brand,rac,Required
AIR_CONDITIONER,capacity,rac,Required
AIR_CONDITIONER,color,rac,Required
AIR_CONDITIONER,control_method,,Optional
AIR_CONDITIONER,controller_type,rac,Required
AIR_CONDITIONER,core_material,rac,Optional
AIR_CONDITIONER,energy_star,rac,Required
AIR_CONDITIONER,form_factor,rac,Optional
AIR_CONDITIONER,included_components,mac,Required
AIR_CONDITIONER,installation_type,rac,Required
AIR_CONDITIONER,item_type_name,,Required
AIR_CONDITIONER,item_weight,rac,Required
AIR_CONDITIONER,model_number,rac,Required
AIR_CONDITIONER,model_name,rac,Required
AIR_CONDITIONER,noise_level,,Required
AIR_CONDITIONER,power_source_type,rac,Optional
AIR_CONDITIONER,refrigerant,rac,Optional
AIR_CONDITIONER,special_feature,rac,Optional
AIR_CONDITIONER,voltage,rac,Optional
AIR_CONDITIONER,warranty_type,,Optional
AIR_CONDITIONER,wattage,rac,Optional
AIR_COOLER,air_flow_capacity,,Optional
AIR_COOLER,color,rac,Required
AIR_COOLER,controls_type,rac,Optional
AIR_COOLER,floor_area,,Optional
AIR_COOLER,form_factor,rac,Optional
AIR_COOLER,included_components,,Required
AIR_COOLER,item_type_name,,Required
AIR_COOLER,item_weight,,Required
AIR_COOLER,material,rac,Required
AIR_COOLER,model_name,,Required
AIR_COOLER,mounting_type,rac,Optional
AIR_COOLER,noise_level,,Optional
AIR_COOLER,number_of_speeds,,Optional
AIR_COOLER,special_feature,rac,Optional
AIR_COOLER,volume_capacity_name,mac,Optional
AIR_COOLER,wattage,rac,Optional
AIR_FRYER,capacity,rac,Optional
AIR_FRYER,color,rac,Required
AIR_FRYER,control_method,rac,Optional
AIR_FRYER,controller_type,,Optional
AIR_FRYER,included_components,,Required
AIR_FRYER,is_assembly_required,mac,Required
AIR_FRYER,item_weight,,Required
AIR_FRYER,material,mac,Required
AIR_FRYER,number_of_items,,Required
AIR_FRYER,number_of_pieces,mac,Required
AIR_FRYER,size,mac,Required
AIR_FRYER,voltage,,Optional
AIR_FRYER,wattage,rac,Optional
AIR_MATTRESS,assembly_instructions,mac,Required
AIR_MATTRESS,care_instructions,rac,Optional
AIR_MATTRESS,color,rac,Required
AIR_MATTRESS,included_components,rac,Required
AIR_MATTRESS,item_firmness_description,rac,Optional
AIR_MATTRESS,item_weight,,Required
AIR_MATTRESS,material,rac,Required
AIR_MATTRESS,weight_capacity.maximum,rac,Optional
AIR_MATTRESS,number_of_items,,Required
AIR_MATTRESS,number_of_pieces,mac,Required
AIR_MATTRESS,size,rac,Required
AIR_MATTRESS,special_feature,rac,Optional
AIR_MATTRESS,unit_count,,Optional
AIR_MATTRESS,water_resistance_level,rac,Optional
AIR_PUMP,air_flow_capacity,,Optional
AIR_PUMP,color,rac,Required
AIR_PUMP,included_components,,Required
AIR_PUMP,item_type_name,,Required
AIR_PUMP,item_weight,,Required
AIR_PUMP,material,rac,Required
AIR_PUMP,operation_mode,rac,Optional
AIR_PUMP,power_source_type,rac,Optional
AIR_PUMP,team_name,,Required
AIR_PURIFIER,color,rac,Required
AIR_PURIFIER,control_method,rac,Optional
AIR_PURIFIER,included_components,,Required
AIR_PURIFIER,item_type_name,,Required
AIR_PURIFIER,item_weight,,Required
AIR_PURIFIER,material,mac,Required
AIR_PURIFIER,noise_level,,Optional
AIR_PURIFIER,number_of_items,,Required
AIR_PURIFIER,power_source_type,rac,Optional
AIR_PURIFIER,size,mac,Required
ANIMAL_CAGE,breed_recommendation,,Optional
ANIMAL_CAGE,color,rac,Required
ANIMAL_CAGE,included_components,rac,Required
ANIMAL_CAGE,item_weight,rac,Required
ANIMAL_CAGE,material,rac,Required
ANIMAL_CAGE,specific_uses_for_product,,Required
ANIMAL_CAGE,target_species,rac,Optional
ANIMAL_CAGE,unit_count,mac,Required
ANIMAL_COLLAR,closure.type,rac,Optional
ANIMAL_COLLAR,color,rac,Required
ANIMAL_COLLAR,material,rac,Required
ANIMAL_COLLAR,pattern,,Required
ANIMAL_COLLAR,unit_count,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,age_range_description,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,color,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,contains_liquid_contents,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,directions,rac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,included_components,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,ingredients,,Optional
ANIMAL_FUR_CLEANER_CONDITIONER,is_oem_authorized,,Required
ANIMAL_FUR_CLEANER_CONDITIONER,item_form,rac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,liquid_volume,rac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,number_of_boxes,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,recommended_uses_for_product,,Optional
ANIMAL_FUR_CLEANER_CONDITIONER,scent,rac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,specific_uses_for_product,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,unit_count,mac,Required
ANIMAL_FUR_CLEANER_CONDITIONER,warranty_description,,Required
ANIMAL_HARNESS,care_instructions,,Optional
ANIMAL_HARNESS,closure.type,rac,Optional
ANIMAL_HARNESS,color,rac,Required
ANIMAL_HARNESS,item_type_name,,Required
ANIMAL_HARNESS,item_weight,rac,Required
ANIMAL_HARNESS,material,rac,Required
ANIMAL_HARNESS,pattern,,Required
ANIMAL_HARNESS,size,rac,Required
ANIMAL_HARNESS,target_species,,Optional
ANIMAL_HARNESS,unit_count,,Required
APPAREL_BELT,belt.belt_style,,Optional
APPAREL_BELT,belt.width,,Optional
APPAREL_BELT,care_instructions,mac,Required
APPAREL_BELT,closure.type,mac,Required
