product_type,Stream,attributes,Key_count
ABIS_BOOK,Customer_Search, Author,2
ABIS_BOOK,Customer_Search, Book Type,1
ABIS_BOOK,Customer_Search, Credit card,1
ABIS_BOOK,Customer_Search, Educational Topic,1
ABIS_BOOK,Customer_Search, Exam Preparation Books,1
ABIS_BOOK,Customer_Search, Format,1
ABIS_BOOK,Customer_Search, Genre,1
ABIS_BOOK,Customer_Search, Grade,2
ABIS_BOOK,Customer_Search, Language,2
ABIS_BOOK,Customer_Search, Material,1
ABIS_BOOK,Customer_Search, Product Line,1
ABIS_BOOK,Customer_Search, Publication Year,2
ABIS_BOOK,Customer_Search, Publication_Year,1
ABIS_BOOK,Customer_Search, Publisher,2
ABIS_BOOK,Customer_Search, Reading Level,1
ABIS_BOOK,Customer_Search, Size,1
ABIS_BOOK,Customer_Search, Study Topic,1
ABIS_BOOK,Customer_Search, Subject,3
ABIS_BOOK,Customer_Search, Target Audience (Children's Book),1
ABIS_BOOK,Customer_Search, Topic,1
ABIS_BOOK,Customer_Search, academic_level,1
ABIS_BOOK,Customer_Search, age_group,1
ABIS_BOOK,Customer_Search, age_range,3
ABIS_BOOK,Customer_Search, author,13
ABIS_BOOK,Customer_Search, author_name,1
ABIS_BOOK,Customer_Search, binding,2
ABIS_BOOK,Customer_Search, book,1
ABIS_BOOK,Customer_Search, book_subject,1
ABIS_BOOK,Customer_Search, book_title,3
ABIS_BOOK,Customer_Search, book_type,2
ABIS_BOOK,Customer_Search, brand,1
ABIS_BOOK,Customer_Search, category,1
ABIS_BOOK,Customer_Search, connectivity_technology,1
ABIS_BOOK,Customer_Search, contributor,13
ABIS_BOOK,Customer_Search, curriculum,1
ABIS_BOOK,Customer_Search, display_type,1
ABIS_BOOK,Customer_Search, edition,2
ABIS_BOOK,Customer_Search, exam_type,1
ABIS_BOOK,Customer_Search, financial_service,1
ABIS_BOOK,Customer_Search, format,29
ABIS_BOOK,Customer_Search, genre,60
ABIS_BOOK,Customer_Search, grade,1
ABIS_BOOK,Customer_Search, item_dimensions,4
ABIS_BOOK,Customer_Search, level,2
ABIS_BOOK,Customer_Search, pages,11
ABIS_BOOK,Customer_Search, paper_type,1
ABIS_BOOK,Customer_Search, product type,1
ABIS_BOOK,Customer_Search, product_line,1
ABIS_BOOK,Customer_Search, product_type,2
ABIS_BOOK,Customer_Search, publication,1
ABIS_BOOK,Customer_Search, publication_date,23
ABIS_BOOK,Customer_Search, publication_format,1
ABIS_BOOK,Customer_Search, publication_type,1
ABIS_BOOK,Customer_Search, publication_year,1
ABIS_BOOK,Customer_Search, publisher,3
ABIS_BOOK,Customer_Search, religious_text,1
ABIS_BOOK,Customer_Search, scripture,2
ABIS_BOOK,Customer_Search, series_title,55
ABIS_BOOK,Customer_Search, sub-category,2
ABIS_BOOK,Customer_Search, sub_category,1
ABIS_BOOK,Customer_Search, subject,7
ABIS_BOOK,Customer_Search, subject_area,1
ABIS_BOOK,Customer_Search, target_age,1
ABIS_BOOK,Customer_Search, target_audience,2
ABIS_BOOK,Customer_Search, title,6
ABIS_BOOK,Customer_Search, topic,1
ABIS_BOOK,Customer_Search, topics,1
ABIS_BOOK,Customer_Search, writing_style,2
ABIS_BOOK,Customer_Search, year of publication,1
ABIS_BOOK,Customer_Search,Age Range,4
ABIS_BOOK,Customer_Search,Author,14
ABIS_BOOK,Customer_Search,Author_Name,1
ABIS_BOOK,Customer_Search,Board/Publication,1
ABIS_BOOK,Customer_Search,Book Series,1
ABIS_BOOK,Customer_Search,Book Title,4
ABIS_BOOK,Customer_Search,Book Type,2
ABIS_BOOK,Customer_Search,Book_Title,1
ABIS_BOOK,Customer_Search,Brand,1
ABIS_BOOK,Customer_Search,Category,4
ABIS_BOOK,Customer_Search,Character,1
ABIS_BOOK,Customer_Search,Customer Care,1
ABIS_BOOK,Customer_Search,Customer Service,1
ABIS_BOOK,Customer_Search,Difficulty Level,2
ABIS_BOOK,Customer_Search,Exam Type,4
ABIS_BOOK,Customer_Search,Exam Year,1
ABIS_BOOK,Customer_Search,Exam_Prep_Book,1
ABIS_BOOK,Customer_Search,Exam_Year,1
ABIS_BOOK,Customer_Search,Fiction/Non-Fiction,1
ABIS_BOOK,Customer_Search,Grade,4
ABIS_BOOK,Customer_Search,Language,4
ABIS_BOOK,Customer_Search,Level,1
ABIS_BOOK,Customer_Search,Membership,1
ABIS_BOOK,Customer_Search,Payment method,1
ABIS_BOOK,Customer_Search,Policies,1
ABIS_BOOK,Customer_Search,Product Type,3
ABIS_BOOK,Customer_Search,Publication,4
ABIS_BOOK,Customer_Search,Publication Type,2
ABIS_BOOK,Customer_Search,Publication Year,1
ABIS_BOOK,Customer_Search,Publisher,9
ABIS_BOOK,Customer_Search,Publisher Name,1
ABIS_BOOK,Customer_Search,Size,1
ABIS_BOOK,Customer_Search,Study Material,1
ABIS_BOOK,Customer_Search,Sub-Category,1
ABIS_BOOK,Customer_Search,Subject,22
ABIS_BOOK,Customer_Search,Subject/Category,1
ABIS_BOOK,Customer_Search,Subject/Topic,1
ABIS_BOOK,Customer_Search,Target Audience,1
ABIS_BOOK,Customer_Search,Theme,2
ABIS_BOOK,Customer_Search,Title,7
ABIS_BOOK,Customer_Search,Topic,3
ABIS_BOOK,Customer_Search,academic_level,5
ABIS_BOOK,Customer_Search,adult_item,1
ABIS_BOOK,Customer_Search,age_group,13
ABIS_BOOK,Customer_Search,age_range,16
ABIS_BOOK,Customer_Search,audience,2
ABIS_BOOK,Customer_Search,audience_rank,1
ABIS_BOOK,Customer_Search,author,38
ABIS_BOOK,Customer_Search,author_name,1
ABIS_BOOK,Customer_Search,authors,1
ABIS_BOOK,Customer_Search,best_seller,1
ABIS_BOOK,Customer_Search,best_sellers_rank,1
ABIS_BOOK,Customer_Search,binding,8
ABIS_BOOK,Customer_Search,binding_type,2
ABIS_BOOK,Customer_Search,book,6
ABIS_BOOK,Customer_Search,book_category,1
ABIS_BOOK,Customer_Search,book_series,4
ABIS_BOOK,Customer_Search,book_set,1
ABIS_BOOK,Customer_Search,book_subject,3
ABIS_BOOK,Customer_Search,book_title,21
ABIS_BOOK,Customer_Search,book_type,3
ABIS_BOOK,Customer_Search,book_year,1
ABIS_BOOK,Customer_Search,brand,9
